127.0.0.1 - - [26/Jul/2022:09:50:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:27 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:27 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:36 +0900] "GET /WebProject2/index1.jsp?profile_id=2 HTTP/1.1" 200 290128
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:36 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:36 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:40 +0900] "GET /WebProject2/index2.jsp?profile_id=2 HTTP/1.1" 200 292951
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:40 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:40 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:43 +0900] "GET /WebProject2/index.jsp?profile_id=2 HTTP/1.1" 200 234612
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:43 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:58:43 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:06 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=3 HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:06 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=4 HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/jspSY/main.css HTTP/1.1" 200 15699
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/js/common-sy.js HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/jspSY/modal.css HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/images/netflix1.png HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/jspSY/Main.jsp HTTP/1.1" 200 47127
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:29 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:43 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:47 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:47 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:51 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:51 +0900] "GET /WebProject2/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:59 +0900] "GET /WebProject2/jspCY/Netflix01.jsp HTTP/1.1" 200 16263
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:59 +0900] "GET /WebProject2/jspCY/css/Netflix01.css HTTP/1.1" 200 15914
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:59:59 +0900] "GET /WebProject2/jspCY/img/icon1_lang.png HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:00:07 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:00:53 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:00:53 +0900] "GET /WebProject2/jspCY/css/Netflix02.css HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:00:53 +0900] "GET /WebProject2/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:00:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:24 +0900] "POST /WebProject2/jspCY/Netflix02_login_action.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:25 +0900] "GET /WebProject2/jspBR/p01.account.jsp HTTP/1.1" 200 13198
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:25 +0900] "GET /WebProject2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:26 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:26 +0900] "GET /WebProject2/images/ab.png HTTP/1.1" 200 6029
